Analysis Type:	PANTHER Enrichment Test (release 20220712)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	alert.range.index.txt (Homo sapiens)	There are duplicate IDs in the file.   For duplicates, the first id/value pair in the file will be used.
Correction:	FDR
GO molecular function complete	number	overUnder	pvalue	fdr
JUN kinase kinase activity (GO:0008545)	2	+	1.88E-01	6.64E-01
UFM1 ligase activity (GO:0061666)	1	-	1.88E-01	6.65E-01
L-amino acid transmembrane transporter activity (GO:0015179)	51	+	1.88E-01	6.65E-01
steroid receptor RNA activator RNA binding (GO:0002153)	2	+	1.88E-01	6.64E-01
chemokine receptor binding (GO:0042379)	31	-	1.88E-01	6.64E-01
oxidoreductase activity, acting on the CH-CH group of donors (GO:0016627)	54	-	1.88E-01	6.64E-01
riboflavin reductase (NADPH) activity (GO:0042602)	1	-	1.89E-01	6.64E-01
11-beta-hydroxysteroid dehydrogenase (NAD+) activity (GO:0070523)	1	+	1.89E-01	6.63E-01
lactosylceramide 1,3-N-acetyl-beta-D-glucosaminyltransferase activity (GO:0047256)	1	-	1.89E-01	6.64E-01
calcium:sodium antiporter activity involved in regulation of cardiac muscle cell membrane potential (GO:0086038)	1	-	1.89E-01	6.65E-01
spermine:oxygen oxidoreductase (spermidine-forming) activity (GO:0052901)	2	-	1.89E-01	6.64E-01
histone pre-mRNA DCP binding (GO:0071208)	4	-	1.89E-01	6.64E-01
phosphatidylethanolamine transfer activity (GO:1904121)	2	-	1.90E-01	6.65E-01
17-beta-ketosteroid reductase activity (GO:0072555)	1	+	1.90E-01	6.64E-01
phosphatidylcholine-sterol O-acyltransferase activity (GO:0004607)	1	-	1.90E-01	6.64E-01
ion antiporter activity involved in regulation of presynaptic membrane potential (GO:0099520)	1	+	1.90E-01	6.65E-01
voltage-gated potassium channel activity involved in SA node cell action potential repolarization (GO:0086090)	1	-	1.91E-01	6.66E-01
voltage-gated potassium channel activity involved in bundle of His cell action potential repolarization (GO:0086087)	1	-	1.91E-01	6.65E-01
MAP kinase kinase activity (GO:0004708)	17	+	1.91E-01	6.65E-01
SUMO ligase activity (GO:0061665)	11	+	1.91E-01	6.65E-01
G protein-coupled neurotransmitter receptor activity (GO:0099528)	10	-	1.91E-01	6.65E-01
fumarate hydratase activity (GO:0004333)	1	+	1.91E-01	6.64E-01
activin receptor antagonist activity (GO:0038102)	1	+	1.91E-01	6.64E-01
cysteine-type peptidase activity (GO:0008234)	146	+	1.91E-01	6.65E-01
creatine kinase activity (GO:0004111)	5	+	1.91E-01	6.65E-01
phosphotransferase activity, nitrogenous group as acceptor (GO:0016775)	5	+	1.91E-01	6.64E-01
tRNA guanylyltransferase activity (GO:0008193)	1	+	1.92E-01	6.64E-01
low voltage-gated calcium channel activity (GO:0008332)	3	-	1.92E-01	6.64E-01
oligopeptide binding (GO:1900750)	11	-	1.92E-01	6.66E-01
myosin V binding (GO:0031489)	14	-	1.92E-01	6.66E-01
diacylglycerol diphosphate phosphatase activity (GO:0000810)	3	-	1.93E-01	6.65E-01
lactosylceramide alpha-2,3-sialyltransferase activity (GO:0047291)	1	+	1.93E-01	6.66E-01
NAD+ diphosphatase activity (GO:0000210)	2	+	1.93E-01	6.66E-01
cAMP-dependent protein kinase activity (GO:0004691)	8	+	1.93E-01	6.67E-01
N1-acetylspermine:oxygen oxidoreductase (N1-acetylspermidine-forming) activity (GO:0052895)	1	-	1.94E-01	6.69E-01
norspermine:oxygen oxidoreductase activity (GO:0052894)	1	-	1.94E-01	6.68E-01
ubiquitin ligase-substrate adaptor activity (GO:1990756)	30	+	1.94E-01	6.68E-01
oxidoreductase activity, acting on a sulfur group of donors, oxygen as acceptor (GO:0016670)	11	-	1.94E-01	6.68E-01
metal-dependent deubiquitinase activity (GO:0140492)	8	+	1.95E-01	6.69E-01
XMP 5'-nucleosidase activity (GO:0106411)	5	-	1.95E-01	6.69E-01
CD27 receptor binding (GO:0005175)	1	-	1.95E-01	6.69E-01
neuropeptide receptor binding (GO:0071855)	28	-	1.95E-01	6.70E-01
glycerol-1-phosphatase activity (GO:0000121)	1	+	1.95E-01	6.70E-01
saccharopine dehydrogenase (NAD+, L-glutamate-forming) activity (GO:0047131)	1	-	1.96E-01	6.70E-01
saccharopine dehydrogenase (NADP+, L-lysine-forming) activity (GO:0047130)	1	-	1.96E-01	6.69E-01
saccharopine dehydrogenase (NAD+, L-lysine-forming) activity (GO:0004754)	1	-	1.96E-01	6.69E-01
saccharopine dehydrogenase activity (GO:0004753)	1	-	1.96E-01	6.68E-01
long-chain acyl-CoA hydrolase activity (GO:0052816)	2	+	1.96E-01	6.69E-01
host cell surface binding (GO:0046812)	1	-	1.96E-01	6.69E-01
host cell surface receptor binding (GO:0046789)	1	-	1.96E-01	6.69E-01
epidermal growth factor binding (GO:0048408)	4	-	1.96E-01	6.68E-01
ubiquinone binding (GO:0048039)	5	+	1.96E-01	6.68E-01
non-membrane spanning protein tyrosine phosphatase activity (GO:0004726)	10	+	1.97E-01	6.69E-01
protein heterodimerization activity (GO:0046982)	230	+	1.97E-01	6.69E-01
ribokinase activity (GO:0004747)	1	+	1.97E-01	6.69E-01
insulin binding (GO:0043559)	5	+	1.97E-01	6.69E-01
galactose:proton symporter activity (GO:0015517)	1	+	1.97E-01	6.69E-01
ribitol beta-1,4-xylosyltransferase activity (GO:0120053)	1	-	1.97E-01	6.68E-01
glucose:proton symporter activity (GO:0005356)	1	+	1.97E-01	6.68E-01
hexose:proton symporter activity (GO:0009679)	1	+	1.97E-01	6.67E-01
epidermal growth factor receptor activity (GO:0005006)	3	-	1.97E-01	6.67E-01
3',5'-cyclic-GMP phosphodiesterase activity (GO:0047555)	13	-	1.97E-01	6.67E-01
toxic substance binding (GO:0015643)	8	-	1.97E-01	6.66E-01
BBSome binding (GO:0062063)	3	-	1.97E-01	6.66E-01
mitochondrion targeting sequence binding (GO:0030943)	5	+	1.98E-01	6.66E-01
sialyltransferase activity (GO:0008373)	18	+	1.98E-01	6.66E-01
histone kinase activity (H2A-Y142 specific) (GO:0140801)	1	+	1.98E-01	6.66E-01
glycoprotein endo-alpha-1,2-mannosidase activity (GO:0004569)	1	-	1.98E-01	6.66E-01
transferrin receptor activity (GO:0004998)	2	+	1.98E-01	6.66E-01
interleukin-1, type II, blocking receptor activity (GO:0004910)	1	-	1.98E-01	6.66E-01
tetrahydrobiopterin binding (GO:0034617)	4	+	1.99E-01	6.68E-01
calcitonin family binding (GO:0097644)	4	-	1.99E-01	6.69E-01
cAMP-dependent protein kinase regulator activity (GO:0008603)	10	-	1.99E-01	6.68E-01
myosin tail binding (GO:0032029)	1	+	1.99E-01	6.68E-01
beta-galactoside alpha-2,6-sialyltransferase activity (GO:0003835)	2	-	1.99E-01	6.68E-01
sulfur dioxygenase activity (GO:0050313)	1	+	2.00E-01	6.68E-01
aspartate 1-decarboxylase activity (GO:0004068)	1	-	2.00E-01	6.68E-01
sulfinoalanine decarboxylase activity (GO:0004782)	1	-	2.00E-01	6.68E-01
aminoacyl-tRNA editing activity (GO:0002161)	11	-	2.00E-01	6.68E-01
alpha-methylacyl-CoA racemase activity (GO:0008111)	1	+	2.00E-01	6.68E-01
cis-stilbene-oxide hydrolase activity (GO:0033961)	1	-	2.01E-01	6.69E-01
RNA 7-methylguanosine cap binding (GO:0000340)	12	+	2.01E-01	6.69E-01
pantetheine-phosphate adenylyltransferase activity (GO:0004595)	1	+	2.01E-01	6.69E-01
protease binding (GO:0002020)	104	-	2.01E-01	6.69E-01
acetylesterase activity (GO:0008126)	4	-	2.02E-01	6.71E-01
short-chain carboxylesterase activity (GO:0034338)	4	-	2.02E-01	6.71E-01
dihydrolipoyllysine-residue (2-methylpropanoyl)transferase activity (GO:0043754)	1	+	2.02E-01	6.71E-01
lipoic acid binding (GO:0031405)	1	+	2.02E-01	6.70E-01
inositol hexakisphosphate 3-kinase activity (GO:0052724)	4	+	2.02E-01	6.70E-01
inositol hexakisphosphate 1-kinase activity (GO:0052723)	4	+	2.02E-01	6.70E-01
vanadium ion transmembrane transporter activity (GO:0015100)	1	+	2.02E-01	6.70E-01
nickel cation transmembrane transporter activity (GO:0015099)	1	+	2.02E-01	6.69E-01
lead ion transmembrane transporter activity (GO:0015094)	1	+	2.02E-01	6.69E-01
peroxidase activity (GO:0004601)	42	-	2.02E-01	6.68E-01
ADP-ribosylarginine hydrolase activity (GO:0003875)	1	+	2.02E-01	6.68E-01
acetylcholine receptor binding (GO:0033130)	11	-	2.03E-01	6.68E-01
3alpha,7alpha,12alpha-trihydroxy-5beta-cholest-24-enoyl-CoA hydratase activity (GO:0033989)	1	+	2.03E-01	6.68E-01
clathrin light chain binding (GO:0032051)	7	-	2.03E-01	6.67E-01
testosterone 17-beta-dehydrogenase (NADP+) activity (GO:0047045)	8	-	2.03E-01	6.67E-01
squalene synthase activity (GO:0051996)	1	-	2.03E-01	6.67E-01
farnesyl-diphosphate farnesyltransferase activity (GO:0004310)	1	-	2.03E-01	6.66E-01
N-formyl peptide receptor activity (GO:0004982)	1	-	2.03E-01	6.67E-01
adenosine kinase activity (GO:0004001)	1	+	2.03E-01	6.67E-01
protein carrier chaperone (GO:0140597)	24	-	2.03E-01	6.67E-01
catecholamine binding (GO:1901338)	10	-	2.03E-01	6.67E-01
hepatocyte growth factor receptor binding (GO:0005171)	2	+	2.04E-01	6.66E-01
peptidyl-lysine 3-dioxygenase activity (GO:0106155)	1	-	2.04E-01	6.66E-01
glutamate binding (GO:0016595)	10	-	2.04E-01	6.66E-01
enzyme regulator activity (GO:0030234)	1032	-	2.04E-01	6.65E-01
myosin II heavy chain binding (GO:0032038)	3	-	2.04E-01	6.67E-01
protein-lysine N-methyltransferase activity (GO:0016279)	50	+	2.05E-01	6.67E-01
diphthine methylesterase activity (GO:0061685)	1	+	2.05E-01	6.67E-01
ceramide cholinephosphotransferase activity (GO:0047493)	2	-	2.05E-01	6.67E-01
sphingomyelin synthase activity (GO:0033188)	2	-	2.05E-01	6.66E-01
ceramide phosphoethanolamine synthase activity (GO:0002950)	2	-	2.05E-01	6.66E-01
NADH dehydrogenase (ubiquinone) activity (GO:0008137)	34	+	2.05E-01	6.67E-01
aryl hydrocarbon receptor binding (GO:0017162)	9	+	2.05E-01	6.66E-01
peptide:proton symporter activity (GO:0015333)	3	-	2.05E-01	6.66E-01
dipeptide transmembrane transporter activity (GO:0071916)	3	-	2.05E-01	6.65E-01
Atg12 transferase activity (GO:0019777)	2	+	2.05E-01	6.66E-01
cysteine-type endopeptidase activity involved in apoptotic signaling pathway (GO:0097199)	10	-	2.05E-01	6.66E-01
dicarboxylic acid transmembrane transporter activity (GO:0005310)	23	-	2.06E-01	6.66E-01
neuregulin binding (GO:0038132)	4	-	2.06E-01	6.67E-01
trans-hexaprenyltranstransferase activity (GO:0000010)	2	+	2.06E-01	6.68E-01
all-trans-decaprenyl-diphosphate synthase activity (GO:0097269)	2	+	2.06E-01	6.67E-01
flippase activity (GO:0140327)	15	+	2.07E-01	6.67E-01
7-dehydrocholesterol reductase activity (GO:0047598)	1	-	2.07E-01	6.68E-01
sterol delta7 reductase activity (GO:0009918)	1	-	2.07E-01	6.67E-01
pyridoxamine-phosphate oxidase activity (GO:0004733)	1	+	2.07E-01	6.68E-01
dihydrolipoyllysine-residue succinyltransferase activity (GO:0004149)	1	+	2.08E-01	6.69E-01
S-succinyltransferase activity (GO:0016751)	1	+	2.08E-01	6.69E-01
8-hydroxy-dADP phosphatase activity (GO:0044717)	1	-	2.08E-01	6.69E-01
CTP synthase activity (GO:0003883)	2	+	2.09E-01	6.70E-01
acetyl-CoA:L-glutamate N-acetyltransferase activity (GO:0004042)	1	+	2.09E-01	6.70E-01
methione N-acyltransferase activity (GO:0103045)	1	+	2.09E-01	6.70E-01
guanosine-3',5'-bis(diphosphate) 3'-diphosphatase activity (GO:0008893)	1	+	2.09E-01	6.70E-01
diphosphoric monoester hydrolase activity (GO:0016794)	1	+	2.09E-01	6.69E-01
sulfate transmembrane transporter activity (GO:0015116)	10	-	2.09E-01	6.69E-01
actin monomer binding (GO:0003785)	23	-	2.09E-01	6.69E-01
NAD+ kinase activity (GO:0003951)	2	-	2.10E-01	6.70E-01
exonuclease activity (GO:0004527)	72	+	2.10E-01	6.71E-01
protein-succinyllysine desuccinylase activity (GO:0036055)	2	+	2.10E-01	6.70E-01
protein-glutaryllysine deglutarylase activity (GO:0061697)	2	+	2.10E-01	6.70E-01
delta(3,5)-delta(2,4)-dienoyl-CoA isomerase activity (GO:0051750)	1	-	2.10E-01	6.71E-01
oxidative RNA demethylase activity (GO:0035515)	5	+	2.10E-01	6.71E-01
ligand-gated sodium channel activity (GO:0015280)	9	+	2.11E-01	6.71E-01
glutathione synthase activity (GO:0004363)	1	-	2.11E-01	6.71E-01
long-chain-aldehyde dehydrogenase activity (GO:0050061)	1	+	2.11E-01	6.71E-01
long-chain-alcohol oxidase activity (GO:0046577)	1	+	2.11E-01	6.70E-01
medium-chain-aldehyde dehydrogenase activity (GO:0052814)	1	+	2.11E-01	6.70E-01
non-ribosomal peptide synthetase activity (GO:1904091)	1	-	2.11E-01	6.69E-01
6-pyruvoyltetrahydropterin synthase activity (GO:0003874)	1	-	2.11E-01	6.70E-01
muscle alpha-actinin binding (GO:0051371)	13	-	2.11E-01	6.69E-01
SNAP receptor activity (GO:0005484)	36	-	2.11E-01	6.69E-01
chloride ion binding (GO:0031404)	8	+	2.11E-01	6.69E-01
pre-mRNA intronic binding (GO:0097157)	12	+	2.11E-01	6.69E-01
sedoheptulokinase activity (GO:0050277)	1	-	2.12E-01	6.69E-01
vitamin D binding (GO:0005499)	4	-	2.12E-01	6.70E-01
cyclase activator activity (GO:0010853)	4	+	2.12E-01	6.70E-01
guanylate cyclase activator activity (GO:0030250)	4	+	2.12E-01	6.69E-01
guanylate cyclase regulator activity (GO:0030249)	4	+	2.12E-01	6.69E-01
N-acetylglucosaminylphosphatidylinositol deacetylase activity (GO:0000225)	1	+	2.13E-01	6.70E-01
adenylylsulfatase activity (GO:0047627)	1	+	2.13E-01	6.70E-01
adenylylsulfate-ammonia adenylyltransferase activity (GO:0047352)	1	+	2.13E-01	6.69E-01
hydrolase activity, acting on acid anhydrides, in sulfonyl-containing anhydrides (GO:0016819)	1	+	2.13E-01	6.69E-01
cardiolipin hydrolase activity (GO:0035755)	1	-	2.13E-01	6.69E-01
NAD+-protein-histidine ADP-ribosyltransferase activity (GO:0140815)	1	-	2.13E-01	6.69E-01
NAD+-protein-tyrosine ADP-ribosyltransferase activity (GO:0140808)	1	-	2.13E-01	6.68E-01
CDP-alcohol phosphatidyltransferase activity (GO:0017169)	9	-	2.13E-01	6.69E-01
myo-inositol:proton symporter activity (GO:0005366)	1	-	2.13E-01	6.69E-01
HMG box domain binding (GO:0071837)	8	-	2.14E-01	6.69E-01
glycine N-choloyltransferase activity (GO:0047963)	1	+	2.14E-01	6.70E-01
very long chain acyl-CoA hydrolase activity (GO:0052817)	1	+	2.14E-01	6.70E-01
lipopeptide binding (GO:0071723)	4	-	2.15E-01	6.70E-01
D-glucuronate transmembrane transporter activity (GO:0042880)	1	+	2.15E-01	6.73E-01
sialic acid:proton symporter activity (GO:0015538)	1	+	2.15E-01	6.72E-01
glucuronate transmembrane transporter activity (GO:0015135)	1	+	2.15E-01	6.72E-01
IMP dehydrogenase activity (GO:0003938)	3	+	2.16E-01	6.73E-01
glutaryl-CoA dehydrogenase activity (GO:0004361)	1	-	2.16E-01	6.73E-01
nitrate reductase activity (GO:0008940)	3	-	2.17E-01	6.74E-01
citrate-L-glutamate ligase activity (GO:0072591)	1	-	2.17E-01	6.73E-01
ribonuclease T2 activity (GO:0033897)	1	-	2.17E-01	6.73E-01
peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity (GO:0000224)	1	+	2.17E-01	6.73E-01
DNA primase activity (GO:0003896)	2	+	2.17E-01	6.73E-01
tumor necrosis factor receptor superfamily binding (GO:0032813)	39	+	2.17E-01	6.73E-01
NAD-dependent histone deacetylase activity (H3-K18 specific) (GO:0097372)	1	+	2.17E-01	6.73E-01
D-ribulokinase activity (GO:0019150)	1	-	2.17E-01	6.73E-01
galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase activity (GO:0015018)	3	-	2.18E-01	6.74E-01
low-density lipoprotein particle receptor binding (GO:0050750)	20	-	2.18E-01	6.75E-01
neuregulin receptor activity (GO:0038131)	3	-	2.19E-01	6.77E-01
ribosomal protein S6 kinase activity (GO:0004711)	7	+	2.19E-01	6.76E-01
zinc efflux transmembrane transporter activity (GO:0022883)	1	+	2.19E-01	6.76E-01
cation efflux transmembrane transporter activity (GO:0046583)	1	+	2.19E-01	6.76E-01
NEDD8 activating enzyme activity (GO:0019781)	2	+	2.20E-01	6.77E-01
cobalamin binding (GO:0031419)	6	+	2.20E-01	6.77E-01
deaminase activity (GO:0019239)	20	+	2.20E-01	6.78E-01
Atg8 ligase activity (GO:0019776)	1	+	2.21E-01	6.79E-01
long-chain fatty acid transporter activity (GO:0005324)	13	-	2.21E-01	6.79E-01
phytoceramidase activity (GO:0070774)	1	+	2.21E-01	6.79E-01
D-lactate dehydrogenase (cytochrome) activity (GO:0004458)	1	+	2.21E-01	6.79E-01
D-lactate dehydrogenase activity (GO:0008720)	1	+	2.21E-01	6.78E-01
oxidoreductase activity, acting on the CH-OH group of donors, cytochrome as acceptor (GO:0016898)	1	+	2.21E-01	6.78E-01
anion channel activity (GO:0005253)	69	-	2.21E-01	6.77E-01
oxidoreductase activity, acting on peroxide as acceptor (GO:0016684)	44	-	2.21E-01	6.77E-01
deUFMylase activity (GO:0071567)	1	+	2.21E-01	6.77E-01
neuropeptide Y receptor binding (GO:0031841)	3	-	2.21E-01	6.76E-01
transforming growth factor beta receptor binding (GO:0005160)	21	-	2.21E-01	6.76E-01
potassium:chloride symporter activity (GO:0015379)	7	+	2.21E-01	6.76E-01
superoxide-generating NAD(P)H oxidase activity (GO:0016175)	2	-	2.22E-01	6.76E-01
hydroxyacid-oxoacid transhydrogenase activity (GO:0047988)	1	-	2.22E-01	6.76E-01
UDP-glucose:glycoprotein glucosyltransferase activity (GO:0003980)	2	-	2.22E-01	6.77E-01
protein tyrosine kinase collagen receptor activity (GO:0038062)	3	-	2.22E-01	6.76E-01
alpha2-adrenergic receptor activity (GO:0004938)	2	-	2.22E-01	6.76E-01
heme binding (GO:0020037)	87	-	2.22E-01	6.76E-01
G protein-coupled adenosine receptor activity (GO:0001609)	3	-	2.22E-01	6.76E-01
GTP binding (GO:0005525)	322	-	2.23E-01	6.76E-01
alcohol dehydrogenase [NAD(P)+] activity (GO:0018455)	5	-	2.23E-01	6.76E-01
uridylate kinase activity (GO:0009041)	3	+	2.23E-01	6.76E-01
arachidonate 8(R)-lipoxygenase activity (GO:0047677)	1	+	2.23E-01	6.76E-01
arachidonate 12(R)-lipoxygenase activity (GO:0106237)	1	+	2.23E-01	6.75E-01
acyloxyacyl hydrolase activity (GO:0050528)	1	-	2.23E-01	6.75E-01
dihydrolipoamide S-acyltransferase activity (GO:0030523)	1	+	2.24E-01	6.76E-01
dihydrolipoyllysine-residue acetyltransferase activity (GO:0004742)	1	+	2.24E-01	6.76E-01
microtubule plus end polymerase (GO:0061863)	1	+	2.24E-01	6.76E-01
protein-glucosylgalactosylhydroxylysine glucosidase activity (GO:0047402)	1	-	2.24E-01	6.76E-01
hemoglobin binding (GO:0030492)	3	-	2.24E-01	6.76E-01
Intermediate conductance calcium-activated potassium channel activity (GO:0022894)	1	+	2.24E-01	6.76E-01
chemokine binding (GO:0019956)	22	-	2.24E-01	6.76E-01
3R-hydroxyacyl-CoA dehydratase activity (GO:0080023)	2	-	2.25E-01	6.76E-01
D3 dopamine receptor binding (GO:0031750)	2	-	2.25E-01	6.77E-01
squalene monooxygenase activity (GO:0004506)	1	-	2.25E-01	6.76E-01
chondroitin 6-sulfotransferase activity (GO:0008459)	2	-	2.25E-01	6.76E-01
POU domain binding (GO:0070974)	1	+	2.25E-01	6.77E-01
voltage-gated potassium channel activity involved in SA node cell action potential depolarization (GO:0086041)	1	-	2.26E-01	6.77E-01
double-stranded methylated DNA binding (GO:0010385)	4	+	2.26E-01	6.77E-01
small protein activating enzyme binding (GO:0044388)	5	+	2.26E-01	6.77E-01
phosphotyrosine residue binding (GO:0001784)	36	-	2.26E-01	6.77E-01
mannosidase activity (GO:0015923)	14	-	2.26E-01	6.76E-01
modified amino acid binding (GO:0072341)	69	-	2.26E-01	6.76E-01
biotin binding (GO:0009374)	5	+	2.26E-01	6.76E-01
endodeoxyribonuclease activity, producing 5'-phosphomonoesters (GO:0016888)	11	+	2.26E-01	6.76E-01
thromboxane A2 receptor binding (GO:0031870)	1	-	2.26E-01	6.76E-01
proline dehydrogenase activity (GO:0004657)	1	-	2.27E-01	6.78E-01
glycine-tRNA ligase activity (GO:0004820)	1	+	2.27E-01	6.78E-01
6,7-dihydropteridine reductase activity (GO:0004155)	1	+	2.27E-01	6.77E-01
glutamate decarboxylase activity (GO:0004351)	2	+	2.28E-01	6.80E-01
homogentisate 1,2-dioxygenase activity (GO:0004411)	1	-	2.28E-01	6.80E-01
beta-mannosidase activity (GO:0004567)	1	-	2.29E-01	6.81E-01
cytidine deaminase activity (GO:0004126)	2	+	2.29E-01	6.82E-01
ubiquitin-like protein ligase activity (GO:0061659)	289	+	2.29E-01	6.82E-01
alkaline phosphatase activity (GO:0004035)	2	-	2.30E-01	6.84E-01
adenosylmethionine decarboxylase activity (GO:0004014)	1	+	2.30E-01	6.83E-01
putrescine binding (GO:0019810)	1	+	2.30E-01	6.83E-01
RNA 5'-methyltransferase activity (GO:1990276)	1	+	2.30E-01	6.83E-01
phosphatidylinositol transfer activity (GO:0008526)	10	-	2.31E-01	6.84E-01
L-tryptophan transmembrane transporter activity (GO:0015196)	2	+	2.31E-01	6.83E-01
interleukin-27 receptor activity (GO:0045509)	2	+	2.31E-01	6.83E-01
diolein transacylation activity (GO:0051265)	3	-	2.31E-01	6.83E-01
mono-olein transacylation activity (GO:0051264)	3	-	2.31E-01	6.83E-01
peptidyl-proline dioxygenase activity (GO:0031543)	10	-	2.31E-01	6.83E-01
protein-disulfide reductase (glutathione) activity (GO:0019153)	2	+	2.32E-01	6.83E-01
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced pteridine as one donor, and incorporation of one atom of oxygen (GO:0016714)	3	-	2.32E-01	6.85E-01
fructose-6-phosphate binding (GO:0070095)	3	+	2.33E-01	6.85E-01
6-phosphofructokinase activity (GO:0003872)	3	+	2.33E-01	6.85E-01
pseudophosphatase activity (GO:0001691)	2	-	2.33E-01	6.85E-01
methylcytosine dioxygenase activity (GO:0070579)	3	+	2.33E-01	6.85E-01
cannabinoid receptor activity (GO:0004949)	2	-	2.33E-01	6.85E-01
inositol trisphosphate phosphatase activity (GO:0046030)	13	+	2.33E-01	6.85E-01
ATP adenylyltransferase activity (GO:0003877)	1	-	2.33E-01	6.85E-01
interleukin-15 receptor binding (GO:0016170)	1	-	2.33E-01	6.84E-01
lysine-tRNA ligase activity (GO:0004824)	1	-	2.33E-01	6.84E-01
